timestamp,c1,c2,c3,c4,c5,c6,c7,c8,c9
0.000000,0.333398,-0.000000,-0.000027,-0.000000,0.333397,0.007595,-0.000027,0.007595,0.999655
0.010000,0.200231,-0.000001,-0.000161,-0.000001,0.200405,0.018207,-0.000161,0.018207,0.998550
0.020000,0.143269,0.000009,0.000563,0.000009,0.143899,0.029182,0.000563,0.029182,0.996158
0.030000,0.111707,-0.000005,-0.000256,-0.000005,0.113080,0.040195,-0.000256,0.040195,0.991984
0.040000,0.091690,-0.000043,-0.001056,-0.000043,0.094082,0.051087,-0.001056,0.051087,0.985553
0.050000,0.077889,-0.000134,-0.002441,-0.000134,0.081559,0.061705,-0.002441,0.061705,0.976440
0.060000,0.067817,-0.000249,-0.003634,-0.000249,0.073010,0.071989,-0.003634,0.071989,0.964273
0.070000,0.060174,-0.000557,-0.006910,-0.000557,0.067051,0.081522,-0.006910,0.081522,0.948812
0.080000,0.054207,-0.000984,-0.010544,-0.000984,0.062902,0.090373,-0.010544,0.090373,0.929869
0.090000,0.049462,-0.001567,-0.014789,-0.001567,0.060034,0.098332,-0.014789,0.098332,0.907385
0.100000,0.045693,-0.002443,-0.020742,-0.002443,0.057977,0.104820,-0.020742,0.104820,0.881529
0.110000,0.042682,-0.003455,-0.026666,-0.003455,0.056575,0.110305,-0.026666,0.110305,0.852433
0.120000,0.040258,-0.004540,-0.032085,-0.004540,0.055691,0.114916,-0.032085,0.114916,0.820306
0.130000,0.038654,-0.006151,-0.040924,-0.006151,0.054406,0.116053,-0.040924,0.116053,0.786161
0.140000,0.037416,-0.007635,-0.047606,-0.007635,0.053663,0.117465,-0.047606,0.117465,0.749925
0.150000,0.036512,-0.009080,-0.053145,-0.009080,0.053146,0.118296,-0.053145,0.118296,0.711949
0.160000,0.035578,-0.010273,-0.055980,-0.010273,0.053179,0.119564,-0.055980,0.119564,0.672526
0.170000,0.035611,-0.011901,-0.062450,-0.011901,0.051927,0.116474,-0.062450,0.116474,0.632994
0.180000,0.036312,-0.013462,-0.069718,-0.013462,0.049671,0.110413,-0.069718,0.110413,0.594414
0.190000,0.036839,-0.014820,-0.074083,-0.014820,0.048490,0.106831,-0.074083,0.106831,0.556127
0.200000,0.036358,-0.015768,-0.073567,-0.015768,0.048789,0.106501,-0.073567,0.106501,0.518090
0.210000,0.035810,-0.016578,-0.072316,-0.016578,0.049106,0.105607,-0.072316,0.105607,0.480832
0.220000,0.033696,-0.016399,-0.065767,-0.016399,0.050288,0.106106,-0.065767,0.106106,0.445385
0.230000,0.031530,-0.015918,-0.058960,-0.015918,0.051435,0.105964,-0.058960,0.105964,0.411947
0.240000,0.029029,-0.014812,-0.050878,-0.014812,0.052491,0.105255,-0.050878,0.105255,0.380911
0.250000,0.027019,-0.013837,-0.044292,-0.013837,0.053433,0.104021,-0.044292,0.104021,0.351904
0.260000,0.026376,-0.014116,-0.042747,-0.014116,0.053744,0.101472,-0.042747,0.101472,0.324368
0.270000,0.025739,-0.014308,-0.041079,-0.014308,0.053906,0.098568,-0.041079,0.098568,0.298459
0.280000,0.025528,-0.014818,-0.040750,-0.014818,0.053466,0.094753,-0.040750,0.094753,0.274290
0.290000,0.025181,-0.015122,-0.039778,-0.015122,0.053083,0.091077,-0.039778,0.091077,0.251857
0.300000,0.025346,-0.015752,-0.040186,-0.015752,0.051864,0.086408,-0.040186,0.086408,0.231257
0.310000,0.025631,-0.016347,-0.040627,-0.016347,0.050398,0.081626,-0.040627,0.081626,0.212427
0.320000,0.025569,-0.016642,-0.039962,-0.016642,0.049470,0.077715,-0.039962,0.077715,0.195150
0.330000,0.025720,-0.016986,-0.039687,-0.016986,0.048163,0.073521,-0.039687,0.073521,0.179384
0.340000,0.025233,-0.016900,-0.037929,-0.016900,0.047638,0.070423,-0.037929,0.070423,0.164952
0.350000,0.024600,-0.016670,-0.035908,-0.016670,0.047196,0.067543,-0.035908,0.067543,0.151773
0.360000,0.023995,-0.016421,-0.034008,-0.016421,0.046693,0.064718,-0.034008,0.064718,0.139754
0.370000,0.023488,-0.016209,-0.032365,-0.016209,0.046076,0.061900,-0.032365,0.061900,0.128802
0.380000,0.022990,-0.015975,-0.030794,-0.015975,0.045434,0.059189,-0.030794,0.059189,0.118828
0.390000,0.022451,-0.015686,-0.029200,-0.015686,0.044819,0.056634,-0.029200,0.056634,0.109748
0.400000,0.021749,-0.015245,-0.027368,-0.015245,0.044329,0.054322,-0.027368,0.054322,0.101490
0.410000,0.020957,-0.014699,-0.025441,-0.014699,0.043897,0.052177,-0.025441,0.052177,0.093986
0.420000,0.020211,-0.014163,-0.023663,-0.014163,0.043444,0.050121,-0.023663,0.050121,0.087157
0.430000,0.019419,-0.013548,-0.021858,-0.013548,0.043021,0.048194,-0.021858,0.048194,0.080947
