timestamp,pos_x,pos_y
11195,4477389.743493,589583.671694
11301,4477391.227791,589581.768290
11402,4477391.240454,589581.759571
11503,4477391.395820,589582.070278
11603,4477391.455232,589582.201633
11705,4477391.484803,589582.288560
11806,4477391.453590,589582.342794
11907,4477391.367499,589582.384877
12008,4477391.292177,589582.445492
12108,4477391.252615,589582.488545
12210,4477391.234990,589582.518698
12311,4477391.221246,589582.548380
12412,4477391.230983,589582.564210
12513,4477391.237459,589582.585846
12614,4477391.248651,589582.602677
12715,4477391.377045,589582.616833
12816,4477391.489034,589582.818639
12917,4477391.587314,589582.941811
13018,4477391.692216,589583.033774
13118,4477391.790709,589583.109783
13220,4477391.885329,589583.186771
13321,4477391.980761,589583.248143
13421,4477392.089329,589583.321826
13523,4477392.166956,589583.407500
13624,4477392.289470,589583.477623
13725,4477392.399341,589583.576652
13826,4477392.511129,589583.641051
13927,4477392.627533,589583.720153
14028,4477392.753814,589583.798884
14128,4477392.891249,589583.891306
14230,4477393.038613,589583.987766
14331,4477393.181837,589584.090806
14432,4477393.329146,589584.210508
14533,4477393.483717,589584.343354
14633,4477393.668966,589584.479227
14734,4477393.854062,589584.620954
14836,4477392.555999,589583.707607
14937,4477392.780316,589583.870495
15038,4477392.993661,589584.053616
15138,4477393.221481,589584.230965
15240,4477393.448025,589584.440816
15342,4477393.693302,589584.638993
15442,4477393.915544,589584.860516
15543,4477394.150993,589585.072296
15644,4477394.386713,589585.306805
15745,4477394.629906,589585.544278
15846,4477394.869905,589585.783826
15946,4477395.104578,589586.051427
16048,4477395.360926,589586.321314
16148,4477395.608856,589586.611320
16250,4477395.870393,589586.878769
16352,4477396.141739,589587.149580
16452,4477396.412212,589587.430833
16553,4477396.684662,589587.719612
16653,4477396.954556,589588.026743
16754,4477397.237979,589588.332609
16856,4477397.532558,589588.643007
16957,4477397.825349,589588.943163
17057,4477398.126343,589589.251534
17158,4477398.433963,589589.575601
17260,4477398.722906,589589.906678
17361,4477399.022233,589590.270626
17462,4477399.328691,589590.627448
17563,4477399.631445,589590.980837
17663,4477399.951096,589591.336144
17765,4477400.262899,589591.694260
17866,4477400.565549,589592.048328
17967,4477400.873458,589592.424302
18068,4477401.173799,589592.798756
18168,4477401.483681,589593.172670
18270,4477401.796462,589593.547569
18371,4477402.119708,589593.943547
18472,4477402.436503,589594.338499
18573,4477402.754214,589594.754306
18674,4477403.092964,589595.156291
18775,4477403.431998,589595.563530
18881,4477404.122646,589596.380828
18977,4477404.484034,589596.791278
19078,4477404.837615,589597.198768
19179,4477405.188257,589597.629703
19385,4477405.941110,589598.449904
19481,4477406.320119,589598.848522
19583,4477406.690019,589599.265231
19684,4477407.034425,589599.694545
19785,4477407.396522,589600.117879
19886,4477407.774004,589600.537381
19987,4477408.163112,589600.954200
20088,4477408.550826,589601.393767
20189,4477408.919378,589601.827711
20290,4477409.279222,589602.276094
20391,4477409.652953,589602.725328
20492,4477410.019666,589603.172611
20592,4477410.413126,589603.609904
20694,4477410.796546,589604.052406
20795,4477411.184607,589604.502317
20896,4477411.561259,589604.963730
20997,4477411.936353,589605.406247
21098,4477412.319757,589605.856722
21198,4477412.720106,589606.294442
21300,4477413.118093,589606.729645
21401,4477413.502347,589607.186217
21502,4477413.877737,589607.653413
21603,4477414.257284,589608.096979
21704,4477414.655024,589608.530064
21805,4477415.053242,589608.947451
21906,4477415.442110,589609.372076
22007,4477415.823934,589609.811034
22108,4477416.193181,589610.265919
22209,4477416.579525,589610.720770
22310,4477416.965854,589611.155857
22411,4477417.380772,589611.586446
22512,4477417.789907,589612.025502
22613,4477418.168343,589612.478241
