timestamp,pos_x,pos_y,accuracy
10510,4477217.407352,589718.708594,8134.300000
10616,4477218.712380,589719.831370,817.000000
10716,4477218.632184,589719.874233,767.700000
10818,4477218.543449,589719.927207,734.300000
10918,4477218.457697,589719.978958,701.800000
11020,4477218.374192,589720.032888,676.900000
11120,4477218.299815,589720.061092,657.200000
11221,4477218.239496,589720.095150,639.600000
11322,4477218.182088,589720.112717,622.800000
11423,4477218.131445,589720.148186,607.200000
11526,4477218.072196,589720.178923,593.400000
11626,4477218.025601,589720.200093,580.900000
11728,4477217.864485,589720.086494,531.400000
11828,4477217.762156,589720.014772,493.000000
11930,4477217.686613,589719.964190,462.300000
12030,4477217.626187,589719.933614,437.100000
12131,4477217.584563,589719.906460,415.900000
12232,4477217.545622,589719.890132,397.700000
12333,4477217.515252,589719.875651,381.800000
12434,4477217.493839,589719.858265,367.700000
12535,4477217.490451,589719.825649,342.100000
12638,4477217.486248,589719.799149,321.200000
12738,4477217.482248,589719.780367,303.800000
12840,4477217.482869,589719.767297,289.100000
12940,4477217.483120,589719.751177,276.300000
13041,4477217.477471,589719.743017,265.400000
13142,4477217.477811,589719.734276,255.700000
13243,4477217.478250,589719.724601,247.100000
13344,4477217.474234,589719.722953,239.300000
13445,4477217.475800,589719.705461,229.000000
13548,4477217.478325,589719.693810,219.900000
13648,4477217.480254,589719.678773,211.800000
13749,4477217.478351,589719.668193,204.700000
13850,4477217.482907,589719.659232,198.200000
13950,4477217.483274,589719.652781,192.500000
14052,4477217.483380,589719.643110,187.200000
14152,4477217.487061,589719.635347,182.500000
14253,4477217.486526,589719.627719,178.000000
14354,4477217.492897,589719.612799,172.500000
14455,4477217.494140,589719.596074,167.500000
14556,4477217.495212,589719.583592,162.900000
14658,4477217.497608,589719.570501,158.800000
14758,4477217.497512,589719.562444,155.700000
14860,4477217.498283,589719.552680,152.900000
14960,4477217.498348,589719.548862,150.300000
15061,4477217.498240,589719.539787,147.900000
15162,4477217.500167,589719.533827,145.600000
15263,4477217.497696,589719.531481,142.700000
15364,4477217.501760,589719.518539,140.100000
15465,4477217.511544,589719.529025,137.600000
15567,4477217.522542,589719.529657,135.300000
15668,4477217.533763,589719.539616,133.400000
15768,4477217.546653,589719.549895,131.500000
15870,4477217.568911,589719.563709,129.800000
15970,4477217.600618,589719.578512,128.600000
16071,4477217.623597,589719.596898,127.600000
16172,4477217.661940,589719.600426,126.800000
16273,4477217.684981,589719.623985,126.000000
16374,4477217.701011,589719.636940,125.400000
16475,4477217.722080,589719.653398,124.400000
16576,4477217.749182,589719.691583,123.300000
16678,4477217.794882,589719.697567,122.600000
16778,4477217.808913,589719.728953,121.700000
16880,4477217.851433,589719.747529,121.000000
