timestamp,c1,c2,c3,c4,c5,c6,c7,c8,c9
9695,1.988202,-0.001806,-0.014020,-0.001806,1.977318,-0.086774,-0.014020,-0.086774,3.907900
9698,1.988613,-0.001771,-0.013279,-0.001771,1.977861,-0.084538,-0.013279,-0.084538,3.909100
9701,1.988928,-0.001727,-0.012284,-0.001727,1.978351,-0.081497,-0.012284,-0.081497,3.910000
9706,1.989329,-0.001724,-0.012216,-0.001724,1.978764,-0.081287,-0.012216,-0.081287,3.911200
9709,1.989637,-0.001697,-0.011570,-0.001697,1.979183,-0.079284,-0.011570,-0.079284,3.912100
9712,1.989941,-0.001682,-0.011218,-0.001682,1.979550,-0.078131,-0.011218,-0.078131,3.913000
9715,1.990244,-0.001670,-0.010948,-0.001670,1.979903,-0.077203,-0.010948,-0.077203,3.913900
9719,1.990649,-0.001652,-0.010503,-0.001652,1.980390,-0.075670,-0.010503,-0.075670,3.915100
9722,1.991054,-0.001634,-0.010048,-0.001634,1.980876,-0.074110,-0.010048,-0.074110,3.916300
9726,1.991357,-0.001621,-0.009729,-0.001621,1.981235,-0.073027,-0.009729,-0.073027,3.917200
9730,1.991859,-0.001613,-0.009511,-0.001613,1.981774,-0.072278,-0.009511,-0.072278,3.918700
9733,1.992159,-0.001613,-0.009511,-0.001613,1.982074,-0.072278,-0.009511,-0.072278,3.919600
9742,1.993060,-0.001605,-0.009310,-0.001605,1.983011,-0.071583,-0.009310,-0.071583,3.922300
9746,1.993374,-0.001569,-0.008314,-0.001569,1.983494,-0.068124,-0.008314,-0.068124,3.923200
9749,1.993774,-0.001569,-0.008314,-0.001569,1.983894,-0.068124,-0.008314,-0.068124,3.924400
9754,1.994178,-0.001554,-0.007889,-0.001554,1.984367,-0.066644,-0.007889,-0.066644,3.925600
9757,1.994482,-0.001539,-0.007429,-0.001539,1.984745,-0.065031,-0.007429,-0.065031,3.926500
9761,1.994883,-0.001536,-0.007349,-0.001536,1.985159,-0.064748,-0.007349,-0.064748,3.927700
9765,1.995387,-0.001521,-0.006879,-0.001521,1.985737,-0.063089,-0.006879,-0.063089,3.929200
9769,1.995688,-0.001515,-0.006677,-0.001515,1.986069,-0.062378,-0.006677,-0.062378,3.930100
9772,1.995989,-0.001511,-0.006550,-0.001511,1.986389,-0.061935,-0.006550,-0.061935,3.931000
9777,1.996491,-0.001500,-0.006186,-0.001500,1.986948,-0.060637,-0.006186,-0.060637,3.932500
9780,1.996894,-0.001490,-0.005841,-0.001490,1.987403,-0.059383,-0.005841,-0.059383,3.933700
9785,1.997395,-0.001485,-0.005665,-0.001485,1.987930,-0.058745,-0.005665,-0.058745,3.935200
9790,1.997803,-0.001463,-0.004878,-0.001463,1.988453,-0.055881,-0.004878,-0.055881,3.936400
9793,1.998107,-0.001449,-0.004342,-0.001449,1.988832,-0.053937,-0.004342,-0.053937,3.937300
9799,1.998508,-0.001446,-0.004196,-0.001446,1.989253,-0.053408,-0.004196,-0.053408,3.938500
9804,1.999209,-0.001438,-0.003873,-0.001438,1.989998,-0.052239,-0.003873,-0.052239,3.940600
9807,1.999510,-0.001433,-0.003676,-0.001433,1.990325,-0.051523,-0.003676,-0.051523,3.941500
9811,1.999911,-0.001429,-0.003497,-0.001429,1.990749,-0.050876,-0.003497,-0.050876,3.942700
9815,2.000411,-0.001428,-0.003427,-0.001428,1.991258,-0.050620,-0.003427,-0.050620,3.944200
9819,2.000716,-0.001413,-0.002749,-0.001413,1.991649,-0.048164,-0.002749,-0.048164,3.945100
9822,2.001017,-0.001410,-0.002626,-0.001410,1.991964,-0.047716,-0.002626,-0.047716,3.946000
9828,2.001622,-0.001396,-0.001877,-0.001396,1.992659,-0.045004,-0.001877,-0.045004,3.947800
9834,2.002224,-0.001389,-0.001521,-0.001389,1.993301,-0.043712,-0.001521,-0.043712,3.949600
9837,2.002624,-0.001386,-0.001361,-0.001386,1.993719,-0.043131,-0.001361,-0.043131,3.950800
9842,2.003025,-0.001381,-0.001022,-0.001381,1.994157,-0.041904,-0.001022,-0.041904,3.952000
9845,2.003426,-0.001377,-0.000754,-0.001377,1.994587,-0.040932,-0.000754,-0.040932,3.953200
9849,2.003826,-0.001375,-0.000682,-0.001375,1.994994,-0.040669,-0.000682,-0.040669,3.954400
9854,2.004226,-0.001374,-0.000562,-0.001374,1.995407,-0.040234,-0.000562,-0.040234,3.955600
9857,2.004527,-0.001370,-0.000292,-0.001370,1.995735,-0.039256,-0.000292,-0.039256,3.956500
9860,2.004927,-0.001367,-0.000117,-0.001367,1.996153,-0.038624,-0.000117,-0.038624,3.957700
9865,2.005327,-0.001365,0.000074,-0.001365,1.996572,-0.037930,0.000074,-0.037930,3.958900
9870,2.005830,-0.001357,0.000628,-0.001357,1.997127,-0.035923,0.000628,-0.035923,3.960400
9873,2.006130,-0.001355,0.000831,-0.001355,1.997446,-0.035185,0.000831,-0.035185,3.961300
9878,2.006631,-0.001351,0.001182,-0.001351,1.997978,-0.033914,0.001182,-0.033914,3.962800
9881,2.007031,-0.001348,0.001453,-0.001348,1.998402,-0.032932,0.001453,-0.032932,3.964000
9884,2.007331,-0.001347,0.001654,-0.001347,1.998719,-0.032203,0.001654,-0.032203,3.964900
9889,2.007731,-0.001345,0.001783,-0.001345,1.999130,-0.031735,0.001783,-0.031735,3.966100
9892,2.008135,-0.001339,0.002580,-0.001339,1.999597,-0.028846,0.002580,-0.028846,3.967300
9895,2.008435,-0.001338,0.002782,-0.001338,1.999912,-0.028112,0.002782,-0.028112,3.968200
9905,2.008723,-0.001335,0.003142,-0.001335,2.000227,-0.026809,0.003142,-0.026809,3.969100
9911,2.010036,-0.001330,0.004639,-0.001330,2.001637,-0.021465,0.004639,-0.021465,3.973000
9915,2.010336,-0.001329,0.004914,-0.001329,2.001952,-0.020487,0.004914,-0.020487,3.973900
9918,2.010736,-0.001329,0.005578,-0.001329,2.002388,-0.018115,0.005578,-0.018115,3.975100
9923,2.011136,-0.001329,0.005871,-0.001329,2.002801,-0.017071,0.005871,-0.017071,3.976300
9926,2.011536,-0.001329,0.005961,-0.001329,2.003205,-0.016748,0.005961,-0.016748,3.977500
9932,2.012035,-0.001330,0.006163,-0.001330,2.003714,-0.016028,0.006163,-0.016028,3.979000
9936,2.012535,-0.001330,0.006313,-0.001330,2.004220,-0.015492,0.006313,-0.015492,3.980500
9940,2.012834,-0.001331,0.006798,-0.001331,2.004540,-0.013761,0.006798,-0.013761,3.981400
9943,2.013134,-0.001332,0.006924,-0.001332,2.004844,-0.013312,0.006924,-0.013312,3.982300
9948,2.013633,-0.001334,0.007437,-0.001334,2.005362,-0.011482,0.007437,-0.011482,3.983800
9953,2.014132,-0.001337,0.007873,-0.001337,2.005875,-0.009927,0.007873,-0.009927,3.985300
9956,2.014432,-0.001337,0.007873,-0.001337,2.006175,-0.009927,0.007873,-0.009927,3.986200
9961,2.014932,-0.001337,0.007942,-0.001337,2.006677,-0.009678,0.007942,-0.009678,3.987700
9964,2.015332,-0.001343,0.008777,-0.001343,2.007100,-0.006698,0.008777,-0.006698,3.988900
9968,2.015631,-0.001346,0.009096,-0.001346,2.007405,-0.005560,0.009096,-0.005560,3.989800
9972,2.016129,-0.001350,0.009468,-0.001350,2.007911,-0.004232,0.009468,-0.004232,3.991300
9976,2.016428,-0.001354,0.009881,-0.001354,2.008216,-0.002758,0.009881,-0.002758,3.992200
9979,2.016826,-0.001359,0.010309,-0.001359,2.008620,-0.001231,0.010309,-0.001231,3.993400
9984,2.017225,-0.001362,0.010554,-0.001362,2.009021,-0.000359,0.010554,-0.000359,3.994600
9987,2.017623,-0.001370,0.011114,-0.001370,2.009422,0.001639,0.011114,0.001639,3.995800
9991,2.017922,-0.001372,0.011243,-0.001372,2.009722,0.002101,0.011243,0.002101,3.996700
9996,2.018521,-0.001389,0.012330,-0.001389,2.010321,0.005978,0.012330,0.005978,3.998500
10006,2.018809,-0.001390,0.012399,-0.001390,2.010608,0.006226,0.012399,0.006226,3.999400
10011,2.019918,-0.001414,0.012939,-0.001414,2.011693,0.011351,0.012939,0.011351,4.002700
10014,2.020318,-0.001423,0.013130,-0.001423,2.012079,0.013163,0.013130,0.013163,4.003900
10018,2.020618,-0.001426,0.013180,-0.001426,2.012375,0.013637,0.013180,0.013637,4.004800
10023,2.021118,-0.001435,0.013382,-0.001435,2.012858,0.015557,0.013382,0.015557,4.006300
10028,2.021418,-0.001446,0.013595,-0.001446,2.013137,0.017579,0.013595,0.017579,4.007200
10031,2.021918,-0.001447,0.013622,-0.001447,2.013634,0.017835,0.013622,0.017835,4.008700
10036,2.022417,-0.001452,0.013707,-0.001452,2.014124,0.018644,0.013707,0.018644,4.010200
10041,2.022966,-0.001514,0.014846,-0.001514,2.014515,0.029455,0.014846,0.029455,4.011700
10044,2.023366,-0.001516,0.014882,-0.001516,2.014908,0.029799,0.014882,0.029799,4.012900
10049,2.023766,-0.001528,0.015090,-0.001528,2.015268,0.031775,0.015090,0.031775,4.014100
10052,2.024166,-0.001543,0.015341,-0.001543,2.015617,0.034155,0.015341,0.034155,4.015300
10055,2.024466,-0.001543,0.015341,-0.001543,2.015917,0.034155,0.015341,0.034155,4.016200
