timestamp,pos_x,pos_y,accuracy
552670,4477442.646225,589650.043612,14.100000
552772,4477442.646358,589650.045476,14.100000
552874,4477442.645350,589650.044725,14.100000
552977,4477442.646355,589650.045222,14.100000
553080,4477442.645725,589650.048198,14.100000
553180,4477442.648037,589650.046559,14.100000
553283,4477442.648275,589650.047913,14.100000
553384,4477442.648521,589650.049946,14.100000
553486,4477442.648288,589650.049016,14.100000
553587,4477442.648382,589650.047573,14.100000
553691,4477442.645709,589650.046841,14.100000
553793,4477442.647155,589650.047078,14.100000
553898,4477442.647372,589650.046652,14.100000
553998,4477442.647394,589650.048517,14.100000
554100,4477442.646088,589650.041408,14.100000
554203,4477442.646411,589650.040556,14.100000
554306,4477442.647829,589650.038503,14.100000
554408,4477442.646038,589650.037253,14.100000
554510,4477442.645052,589650.038367,14.100000
554613,4477442.645928,589650.037339,14.100000
554714,4477442.643499,589650.038470,14.100000
554817,4477442.643597,589650.037367,14.100000
554918,4477442.644705,589650.037184,14.100000
555019,4477442.643490,589650.037707,14.100000
555121,4477442.641397,589650.039089,14.100000
555222,4477442.640068,589650.039360,14.100000
555323,4477442.638960,589650.039543,14.100000
555426,4477442.639857,589650.040295,14.100000
555529,4477442.641288,589650.039260,14.100000
555631,4477442.642416,589650.040689,14.100000
555732,4477442.642768,589650.042296,14.100000
555835,4477442.641863,589650.040865,14.100000
555938,4477442.641418,589650.040785,14.100000
556060,4477442.642815,589650.046197,14.100000
556155,4477442.643262,589650.046446,14.100000
556257,4477442.641509,589650.048418,14.100000
556358,4477442.643032,589650.045855,14.100000
556460,4477442.640616,589650.048005,14.100000
556563,4477442.641475,589650.045620,14.100000
556664,4477442.641700,589650.045871,14.100000
556767,4477442.641375,589650.046469,14.100000
556869,4477442.642473,589650.045523,14.100000
556970,4477442.641826,589650.047057,14.100000
557073,4477442.645913,589650.045397,14.100000
557173,4477442.646232,589650.044205,14.100000
557278,4477442.646698,589650.045981,14.100000
557379,4477442.647713,589650.047326,14.100000
557480,4477442.649490,589650.047390,14.100000
557582,4477442.649184,589650.049683,14.100000
557683,4477442.647612,589650.048176,14.100000
557787,4477442.646724,589650.048186,14.100000
557889,4477442.645492,589650.047268,14.100000
557993,4477442.644720,589650.047701,14.100000
558094,4477442.645836,589650.048197,14.100000
558197,4477442.647513,589650.049195,14.100000
558298,4477442.648661,589650.052319,14.100000
558398,4477442.647565,589650.053520,14.100000
558500,4477442.648440,589650.052407,14.100000
558601,4477442.647983,589650.051309,14.100000
558702,4477442.647378,589650.047160,14.100000
558806,4477442.647368,589650.046312,14.100000
558908,4477442.646952,589650.048692,14.100000
559010,4477442.649821,589650.047216,14.100000
559111,4477442.646692,589650.045557,14.100000
559214,4477442.646905,589650.044791,14.100000
559318,4477442.649544,589650.042639,14.100000
559422,4477442.647895,589650.044016,14.100000
559523,4477442.648309,589650.041466,14.100000
559625,4477442.645193,589650.040825,14.100000
559728,4477442.644131,589650.035579,14.100000
559831,4477442.635645,589650.031524,14.100000
559933,4477442.627854,589650.020591,14.100000
560037,4477442.615234,589650.005050,14.100000
560140,4477442.596208,589649.983055,14.100000
560241,4477442.576901,589649.946729,14.100000
560344,4477442.553707,589649.910364,14.100000
560446,4477442.522098,589649.866636,14.100000
560547,4477442.483599,589649.831557,14.100000
560650,4477442.447707,589649.773121,14.100000
560750,4477442.398773,589649.710261,14.100000
560853,4477442.347208,589649.659478,14.100000
560954,4477442.299789,589649.574801,14.100000
561062,4477442.191353,589649.438011,14.100000
561158,4477442.139396,589649.345161,14.100000
561261,4477442.089955,589649.267803,14.100000
561362,4477442.023580,589649.185474,14.100000
561464,4477441.967942,589649.100472,14.100000
561566,4477441.899473,589649.019440,14.100000
561669,4477441.830050,589648.932821,14.100000
561784,4477441.763203,589648.848207,14.100000
561885,4477441.698955,589648.767294,14.100000
561987,4477441.636277,589648.678474,14.100000
562088,4477441.561680,589648.595565,14.100000
562191,4477441.498101,589648.505738,14.100000
562293,4477441.432224,589648.409322,14.100000
562394,4477441.371326,589648.320820,14.100000
562496,4477441.302146,589648.226734,14.100000
562597,4477441.243766,589648.135233,14.100000
562700,4477441.173097,589648.046594,14.100000
562801,4477441.107936,589647.945081,14.100000
562905,4477441.035653,589647.851456,14.100000
563008,4477440.979727,589647.760944,14.100000
563112,4477440.906039,589647.670559,14.100000
563214,4477440.835846,589647.575298,14.100000
563324,4477440.780046,589647.476811,14.100000
563425,4477440.713006,589647.375999,14.100000
563526,4477440.650289,589647.283871,14.100000
563627,4477440.574830,589647.175356,14.100000
563730,4477440.509362,589647.076052,14.100000
563833,4477440.448072,589646.982550,14.100000
563934,4477440.370571,589646.870412,14.100000
564035,4477440.309964,589646.769099,14.100000
564138,4477440.237629,589646.671149,14.100000
564240,4477440.177508,589646.564062,14.100000
