timestamp,pos_x,pos_y,acc
49945,4477387.922493,589579.023239,14.100000
50046,4477387.924834,589579.024059,14.100000
50149,4477387.922755,589579.026544,14.100000
50249,4477387.921970,589579.025875,14.100000
50351,4477387.923548,589579.027892,14.100000
50454,4477387.924012,589579.029583,14.100000
50554,4477387.924467,589579.030510,14.100000
50656,4477387.925010,589579.029486,14.100000
50756,4477387.921045,589579.032078,14.100000
50859,4477387.920934,589579.032079,14.100000
50959,4477387.921046,589579.032163,14.100000
51061,4477387.923565,589579.029333,14.100000
51163,4477387.922418,589579.026209,14.100000
51262,4477387.925074,589579.025498,14.100000
51366,4477387.923897,589579.029245,14.100000
51467,4477387.927838,589579.024617,14.100000
51568,4477387.927526,589579.026317,14.100000
51669,4477387.929309,589579.026890,14.100000
51771,4477387.929768,589579.028157,14.100000
51889,4477387.928883,589579.028422,14.100000
51995,4477387.931065,589579.025172,14.100000
52096,4477387.928790,589579.029950,14.100000
52196,4477387.922228,589579.028925,14.100000
52298,4477387.924584,589579.031018,14.100000
52399,4477387.924124,589579.029666,14.100000
52499,4477387.923090,589579.026710,14.100000
52601,4477387.914890,589579.027995,14.100000
52701,4477387.916013,589579.019839,14.100000
52803,4477387.919776,589579.018861,14.100000
52909,4477387.919407,589579.025142,14.100000
53012,4477387.921475,589579.021640,14.100000
53114,4477387.922031,589579.021718,14.100000
53214,4477387.918065,589579.033555,14.100000
53315,4477387.924105,589579.037300,14.100000
53417,4477387.919126,589579.038717,14.100000
53517,4477387.924993,589579.037290,14.100000
53621,4477387.927213,589579.037263,14.100000
53723,4477387.927795,589579.030301,14.100000
53822,4477387.928762,589579.027575,14.100000
53926,4477387.977046,589579.054734,34.500000
54026,4477388.008714,589579.066315,51.400000
54127,4477388.014953,589579.068191,66.000000
54229,4477388.000118,589579.090167,70.900000
54329,4477388.002081,589579.077930,75.800000
54431,4477388.004640,589579.078408,80.700000
54532,4477388.001816,589579.083616,85.300000
54633,4477388.001139,589579.082691,89.400000
54733,4477388.002742,589579.077498,93.300000
54834,4477387.946932,589579.024474,16.200000
54935,4477387.946970,589579.018366,14.200000
55038,4477387.948956,589579.017325,14.100000
55138,4477387.945992,589579.020159,14.100000
55239,4477387.943454,589579.021462,14.100000
55341,4477387.940186,589579.017429,14.100000
55441,4477387.942654,589579.019520,14.100000
55549,4477387.940654,589579.019375,14.100000
55646,4477387.943720,589579.015860,14.100000
55746,4477387.942793,589579.012563,14.100000
55849,4477387.946687,589579.013280,14.100000
55949,4477387.944700,589579.014237,14.100000
56050,4477387.947039,589579.014888,14.100000
56152,4477387.944475,589579.013985,14.100000
56254,4477387.943077,589579.017734,14.100000
56359,4477387.943946,589579.016197,14.100000
56459,4477387.942603,589579.015280,14.100000
