timestamp,pos_x,pos_y,accuracy
122561,4477316.752,589753.1798,14.1
122661,4477316.788,589753.1938,14.1
122762,4477316.818,589753.2022,14.1
122863,4477316.86,589753.2132,14.1
122964,4477316.901,589753.2384,14.1
123066,4477316.958,589753.2572,14.1
123166,4477317.026,589753.2836,14.1
123268,4477317.091,589753.3159,14.1
123369,4477317.162,589753.356,14.1
123469,4477317.229,589753.3909,14.1
123570,4477317.306,589753.4465,14.1
123671,4477317.374,589753.5024,14.1
123772,4477317.446,589753.5555,14.1
123873,4477317.517,589753.6207,14.1
123974,4477317.586,589753.6855,14.1
124075,4477317.663,589753.7454,14.1
124177,4477317.727,589753.8213,14.1
124277,4477317.79,589753.8841,14.1
124379,4477317.855,589753.9502,14.1
124480,4477317.911,589754.0287,14.1
124580,4477317.969,589754.0966,14.1
124681,4477318.017,589754.1578,14.1
124782,4477318.07,589754.2159,14.1
124883,4477318.136,589754.2709,14.1
124984,4477318.194,589754.339,14.1
125085,4477318.258,589754.4105,14.1
125186,4477318.325,589754.4787,14.1
125287,4477318.373,589754.5475,14.1
125388,4477318.426,589754.6128,14.1
125489,4477318.488,589754.6954,14.1
125590,4477318.528,589754.7797,14.1
125691,4477318.559,589754.857,14.1
125792,4477318.6,589754.9197,14.1
125893,4477318.636,589754.9995,14.1
125995,4477318.675,589755.0798,14.1
126095,4477318.705,589755.1651,14.1
126197,4477318.729,589755.2338,14.1
126297,4477318.746,589755.3115,14.1
126399,4477318.755,589755.39,14.1
126499,4477318.757,589755.476,14.1
126600,4477318.766,589755.5694,14.1
126702,4477318.757,589755.6462,14.1
126802,4477318.749,589755.7136,14.1
126903,4477318.74,589755.7876,14.1
127008,4477318.713,589755.9431,14.1
127206,4477318.691,589756.02,14.1
127312,4477318.668,589756.1619,14.1
127409,4477318.655,589756.2405,14.1
127509,4477318.644,589756.3211,14.1
127610,4477318.634,589756.4057,14.1
127711,4477318.625,589756.4729,14.1
127812,4477318.614,589756.5468,14.1
127914,4477318.603,589756.6195,14.1
128014,4477318.601,589756.6869,14.1
128116,4477318.601,589756.7632,14.1
128217,4477318.59,589756.8297,14.1
128317,4477318.578,589756.8906,14.1
128419,4477318.562,589756.9614,14.1
128519,4477318.544,589757.0255,14.1
128620,4477318.515,589757.0918,14.1
128721,4477318.487,589757.1609,14.1
128822,4477318.47,589757.2186,14.1
128924,4477318.452,589757.2805,14.1
129024,4477318.427,589757.3545,14.1
129126,4477318.413,589757.4214,14.1
129226,4477318.401,589757.4822,14.1
129327,4477318.372,589757.5369,14.1
129429,4477318.341,589757.5981,14.1
129529,4477318.312,589757.6391,14.1
129630,4477318.274,589757.6894,14.1
129731,4477318.234,589757.7306,14.1
129832,4477318.195,589757.7519,14.1
129933,4477318.161,589757.7826,14.1
130036,4477318.123,589757.8276,14.1
130137,4477318.082,589757.8727,14.1
130238,4477318.049,589757.9228,14.1
130339,4477318.016,589757.9661,14.1
130439,4477317.985,589757.9995,14.1
130541,4477317.945,589758.0334,14.1
130641,4477317.911,589758.0577,14.1
130749,4477317.876,589758.0772,14.1
130850,4477317.842,589758.1063,14.1
130951,4477317.81,589758.1329,14.1
131052,4477317.788,589758.1644,14.1
131154,4477317.762,589758.198,14.1
131254,4477317.741,589758.2097,14.1
131355,4477317.725,589758.2238,14.1
131457,4477317.707,589758.2342,14.1
131558,4477317.679,589758.2478,14.1
131659,4477317.652,589758.2596,14.1
131759,4477317.635,589758.2546,14.1
131860,4477317.614,589758.2494,14.1
131961,4477317.583,589758.239,14.1
132062,4477317.547,589758.2283,14.1
132163,4477317.51,589758.2168,14.1
132264,4477317.47,589758.2077,14.1
132366,4477317.422,589758.1997,14.1
132466,4477317.382,589758.1828,14.1
